Subclass/&MartialEldritchKnightTitle	Arcane Knight
Subclass/&MartialEldritchKnightDescripton	Fearsome warriors and spellcasters, arcane knights are rare among magic-users in their ability to wade into battle alongside fighters, barbarians, and other martial classes. Those who must face arcane knights in combat fear them greatly, for their versatility on the battlefield is tremendous; against heavily armed and armored opponents they may level crippling spells, while opposing spellcasters meet their ends on an arcane knight's blade.
Feature/&FighterSubclassEldritchKnightAccursedStrikeTitle	Accursed Strike
Feature/&FighterSubclassEldritchKnightAccursedStrikeDescription	At 10th level, you infuse your weapons with arcane might to make foes you hit less resistant to your magic. When you hit a creature with a weapon attack, that creature has disadvantage on the next saving throw it makes against a spell you cast before the end of your next turn.
Rules/&FighterSubclassEldritchKnightAccursedStrikeConditionTitle	Accursed
Rules/&FighterSubclassEldritchKnightAccursedStrikeConditionDescription	Target has a disadvantage on savingthrows against spells cast by Arcane Knight.
Feature/&FighterSubclassEldritchKnightSpellCombatTitle	Spell Combat
Feature/&FighterSubclassEldritchKnightSpellCombatDescription	Beginning at 7th level, when you use your action to cast a cantrip, you can make one weapon attack as a bonus action.
Feature/&FighterSubclassEldritchKnightSpellcastingTitle	Spellcasting
Feature/&FighterSubclassEldritchKnightSpellcastingDescription	Spontaneously cast wizard cantrips and spells from abjuration and evocation schools. Intelligence is your spellcasting ability for your wizard spells,
Feature/&FighterSubclassEldritchKnightAnySpellSelectionTitle	Extra Spell
Feature/&FighterSubclassEldritchKnightAnySpellSelectionDescription	At 3rd, 8th, 14th and 20th level you can add a wizard spell of any school to your list of known spells.
Spell/&SunlightBladeTitle	Sunlight Blade
Spell/&SunlightBladeDescription	Make a melee attack with a weapon against one creature within the spell's range. On a hit, the target suffers the attack's normal effects, and is enveloped in glowing radiant energy, shedding bright light until the spell ends. Until the end of your next turn, next attack against this creature is done with advantage, after it the spell ends.\n At 5th level, the melee attack deals an extra 1d8 radiant damage to the target. The damage increases by another 1d8 at 11th level and 17th level.
Feedback/&AdditionalDamageSunlightBladeFormat	Extra damage due to Sunlight Blade
Feedback/&AdditionalDamageSunlightBladeLine	Extra damage due to Sunlight Blade
Spell/&ViciousMockeryTitle	Vicious Mockery
Spell/&ViciousMockeryDescription	Unleash a string of insults laced with subtle enchantments at a creature.
Spell/&IceStrikeTitle	Touch of Frost
Spell/&IceStrikeDescription	Freeze air around the target to deal cold damage and impose a disadvantage on its next weapon attack roll.
Spell/&AirBlastTitle Air Blast
Spell/&AirBlastDescription Fire a blast of focused air at your target.
Spell/&ThunderStrikeTitle	Sound Burst
Spell/&ThunderStrikeDescription	Create a burst of thundering sound, damaging everyone around you.
Spell/&BurstOfRadianceTitle	Burst of Radiance
Spell/&BurstOfRadianceDescription	Create a brilliant flash of shimmering light, damaging all enemies around you.
Spell/&AcidClawsTitle	Bloody Claws
Spell/&AcidClawsDescription	Make a deadly attack with your sharpened claws.
Spell/&HellishRebukeTitle	Hellish Rebuke
Spell/&HellishRebukeDescription	Burn creature that damaged you in hellish flames.
Reaction/&SubitemSelectHellishRebukeSpellTitle	Select spell slot to use
Feature/&TraditionLoremasterSubclassPursuitOfKnowledgeTitle	Pursuit of Knowledge
Feature/&TraditionLoremasterSubclassPursuitOfKnowledgeDescription	Choose one additional spell of the level you can cast and one additional cantrip from any class. The coosen spells count as wizard spells for you and are added to your spellbook.
Spell/&ShillelaghTitle	Shillelagh
Spell/&ShillelaghDescription	Imbue a wood of club or quarterstaff with nature's power. You can use your spellcasting ability for the attack and damage rolls of melee attacks using that weapon, and the weapon's damage die becomes a d8. The weapon also becomes magical, if it isn't already.
Spell/&CallLightningTitle	Call Lightning
