Subclass/&BardSubclassCollegeTitle	College
Subclass/&BardSubclassCollegeDescription	Select a Bard college
Class/&BardClassTitle	Bard
Class/&BardClassDescription	Untold wonders and secrets exist for those skillful enough to discover them. Through cleverness, talent, and magic, these cunning few unravel the wiles of the world, becoming adept in the arts of persuasion, manipulation, and inspiration. Typically masters of one or many forms of artistry, bards possess an uncanny ability to know more than they should and use what they learn to keep themselves and their allies ever one step ahead of danger. Bards are quick-witted and captivating, and their skills might lead them down many paths, be they gamblers or jacks-of-all-trades, scholars or performers, leaders or scoundrels, or even all of the above. For bards, every day brings its own opportunities, adventures, and challenges, and only by bucking the odds, knowing the most, and being the best might they claim the treasures of each.
Feature/&BardWeaponProficiencyTitle	Bard Weapon Proficiencies
Feature/&BardArmorProficiencyTitle	Bard Armor Proficiencies
Feature/&BardToolsProficiencyTitle	Bard Tool Proficiencies
Feature/&BardToolsProficiencyDescription	Lyre and either Manacalon Rosary or Thieves' Tools
Feature/&BardClassSkillPointPoolTitle	Bard Skills
Feature/&BardClassSkillPointPoolDescription	Choose any 3 skills
Feature/&BardClassSpellcastingTitle	Bard Spellcasting
Feature/&BardClassSpellcastingDescription	Can cast spells from Bard Spells list
Rules/&BardClassInspiredCondition Inspired
Rules/&BardClassInspiredConditionDescription You can add an inspiraiton die to one attack or saving throw roll.
Reaction/&UseBardInspirationUsePowerDescription You are about to miss an attack. You can spend an inspirtion to add the inspiration die to the resulting roll.
Reaction/&UseBardInspirationSavesUsePowerDescription	You are about to fail a saving throw against {0}. You can spend an inspirtion to add the inspiration die to the resulting roll.
Feature/&BardClassInspirationUsePowerTitle	Spend Bardic Inspiration 
Reaction/&UseBardInspirationUsePowerReactDescription Spend Inspiraiton
Feature/&BardClassInspirationPowerTitle	Bardic Inspiration
Feature/&BardClassInspirationPowerDescription	Inspire others through stirring words or music as a bonus action. Inspired creature can add an inspiration die to one attack roll or saving throw it makes.
Feature/&BardClassInspirationUsePowerDescription	Spend Bardic Inspirtaion to get inspiration bonus on one attack roll or saving throw.
