Rules/&SentinielFeatConditionCannotMoveTitle	Unable to Move
Rules/&SentinielFeatConditionCannotMoveDescription	Character is unable to move
Feature/&SentinelFeatTitle	Opportunist
Feature/&SentinelFeatDescription	When you hit a creature with an ooportunity attack, its speed is reduced to 0 until the end of the turn.\nCreatures provoke opportunity attack from you even if they take the Disengage action.\nIf the creature within you melee weapon reach attack your ally, it provokes an opportunity attack from you.
Feature/&PolearmMasterFeatTitle	Polearm Expertise
Feature/&PolearmMasterFeatDescription	After you perform an attack action using a spear or a quarterstaff, you can make an extra melee attack with the opposite side of the weapon as a bonus action. This attack deals 1d4 + corresponding weapon ability modifier points of bludgeoning damage.\nWhile you are wielding a spear or a quarterstaff, other creatures provoke an opportunity attack from you when they enter you reach zone.
Feature/&MagicInititateFeatTitle	Magic Heritage (<CLASS>)
Feature/&MagicInititateFeatDescription	Learn two cantrips and one 1st-level spell from <CLASS> spelllist.
Feature/&WarcasterFeatTitle	Combat Casting
Feature/&WarcasterFeatDescription	You have advantage on Constitution saving throws that you make to maintain your concentration on a spell.\nYou can cast spells with a somatic component without a free hand, provided a weapon or shield is being wielded.\nWhen a hostile creature's movement provokes an opportunity attack from you, you can use your reaction to cast a cantrip at the creature, rather than making an opportunity attack.
Reaction/&SubitemSelectWarcasterTitle Attacks List
Feature/&FuriousFeatPowerAttackPowerTitle	Furious Attack
Feature/&FuriousFeatPowerAttackPowerDescription	Double your melee weapon base damage, but suffer a disadvantage on all melee weapon attacks.
Rules/&FuriousFeatConditionPowerAttackTitle	Furious
Rules/&FuriousFeatConditionPowerAttackDescription	Your melee weapon base damage is doubled, but you suffer a disadvantage on all melee weapon attacks.
Feature/&FuriousFeatTitle	Furious
Feature/&FuriousFeatDescription	On your turn, when you score a critical hit with a melee weapon or reduce a creature to 0 hit points with one, you can make one melee weapon attack as a bonus action.\nWhen you make your first Attack on your turn, you can decide to attack furiously. Doing so doubles your base melee weapon damage during this turn, but you suffer a disadvantage on all your attacks.
Feature/&ElementalAdeptFeatTitle	Elemental Focus (<DAMAGE>)
Feature/&ElementalAdeptFeatDescription	<DAMAGE> spells you cast ignore target's resistance to damage. In addition, when you roll damage for these spells, you can reroll any 1s.
Feature/&ElementalAdeptFeatRerollDescription	{0} rerolls {1} die from {2} to {3} due to Elemental Focus
Rules/&MobileFeatPreventAooConditionTitle	Cannot make AOO
Rules/&MobileFeatPreventAooConditionDescription	You can not make Opportunity Attacks against character with Combat Mobility Feat that hit you.
Feature/&MobileFeatTitle	Combat Mobility
Feature/&MobileFeatDescription	Your speed increases by 10 feet.\nWhen you use the Dash action, difficult terrain does not slow you.\nWhen you make a melee attack against a creature, you don't provoke opportunity attacks from that creature for the rest of the turn, whether you hit or not.
Feature/&FastShooterFeatTitle	Fast Shooter
Feature/&FastShooterFeatDescription	When you make your first attack on your turn, you can decide to shoot faster than usual. Doing so permits you to ignore disadvantage on your ranged attack rolls if you within 5 feet of a hostile creature, and also make one extra ranged attack as a bonus action this turn, but you suffer a -2 penalty on all your ranged attacks.
Feature/&FastShooterFeatRapidShotActionTitle	Fast Shot
Feature/&FastShooterFeatRapidShotActionDescription	Ignore ranged proximity disadvantage and make one extra ranged attack as a bonus action, but suffer a -2 penalty on all your ranged attacks.
Rules/&FastShooterConditionRapidShotTitle	Fast Shot
Rules/&FastShooterConditionRapidShotDescription	Target ignores ranged proximity disadvantage and can make one extra ranged attack as a bonus action, but suffers a -2 penalty on all ranged attacks.
