Subclass/&WarlockSubclassPatronTitle	Otherworldly Patron
Subclass/&WarlockSubclassPatronDescription	Select a Warlock Patron
Stage/&SubclassSelectionStagePatronHeader	Warlock Patrons
Stage/&SubclassSelectionStagePatronTitle	Warlock Patrons
Stage/&SubclassSelectionStagePatronFeatures	Otherwordly Patron Features
Class/&WarlockClassTitle	Warlock
Class/&WarlockClassDescription	Warlocks are seekers of the knowledge that lies hidden in the fabric of the multiverse. Through pacts made with mysterious beings of supernatural power, warlocks unlock magical effects both subtle and spectacular.
Feature/&WarlockWeaponProficiencyTitle	Warlock Weapon Proficiencies
Feature/&WarlockArmorProficiencyTitle	Warlock Armor Proficiencies
Feature/&WarlockClassSkillPointPoolTitle	Warlock Skills
Feature/&WarlockClassSpellcastingTitle	Warlock Spellcasting
Feature/&WarlockClassSpellcastingDescription	Can cast level 1 - 5 spells from Warlock Spells list. Your spell slots recharge after short rest.
Feature/&WarlockClassMysticArcanumTitle	Mystic Arcanum (<LEVEL>th-level)
Feature/&WarlockClassMysticArcanumDescription	Choose one <LEVEL>th-level spell from the warlock spell list. You can cast your arcanum spell once. You must finish a long rest before you can do so again.
Feature/&WarlockAgonizingBlastInvocationTitle	Agonizing Blast
Feature/&WarlockAgonizingBlastInvocationDescription	When you cast eldritch blast, add your <MAIN_STAT> modifier to the damage it deals on a hit.
Feature/&WarlockMiringBlastInvocationTitle	Miring Blast
Feature/&WarlockMiringBlastInvocationDescription	When you hit a creature with eldritch blast, its speed is reduced by 10 feet until the start of your next turn.
Feature/&WarlockInvocationsTitle	Eldritch Invocations
Feature/&WarlockInvocationsDescription	In your study of occult lore, you have unearthed eldritch invocations, fragments of forbidden knowledge that imbue you with an abiding magical ability. At 2nd level, you gain two eldritch invocations of your choice. When you gain certain warlock levels, you gain additional invocations of your choice. 
Feature/&WarlockRepellingBlastInvocationTitle	Repelling Blast
Feature/&WarlockRepellingBlastInvocationDescription	When you hit a creature with eldritch blast, you can push the creature up to 10 feet away from you in a straight line.
Feature/&WarlockAlienEctoplasmInvocationsTitle	Alien Ectoplasm
Feature/&WarlockAlienEctoplasmInvocationsDescription	You can cast grease at will, without expending a spell slot or requiring any material components.
Feature/&WarlockShadowArmorInvocationsTitle	Armor of Shadows
Feature/&WarlockShadowArmorInvocationsDescription	You can cast mage armor on yourself at will, without expending a spell slot or material components.
Feature/&WarlockEldritchSightInvocationsTitle	Eldritch Sight
Feature/&WarlockEldritchSightInvocationsDescription	You can cast detect magic at will, without expending a spell slot.
Feature/&WarlockFiendishVigorInvocationsTitle	Fiendish Vigor
Feature/&WarlockFiendishVigorInvocationsDescription	You can cast false life on yourself at will as a 1st-level spell, without expending a spell slot or material components.
Feature/&WarlockOtherWordlyLeapInvocationsTitle	Otherworldly Leap
Feature/&WarlockOtherWordlyLeapInvocationsDescription	You can cast jump on yourself at will, without expending a spell slot or material components.
Feature/&WarlockAscendantStepInvocationsTitle	Ascendant Step
Feature/&WarlockAscendantStepInvocationsDescription	You can cast levitate on yourself at will, without expending a spell slot or material components.
Feature/&WarlockClassBookOfEldritchSecretsInvocationTitle	Eldritch Secrets
Feature/&WarlockClassBookOfEldritchSecretsInvocationDescription	You can add one spell from warlock or wizard spells list to your list of known spells.
Feature/&WarlockBeguilingInfluenceInvocationTitle	Beguiling Influence
Feature/&WarlockBeguilingInfluenceInvocationDescription	You gain proficiency in the Deception and Persuasion skills.
Feature/&WarlockDevilsSightInvocationTitle	Devil's Sight
Feature/&WarlockDevilsSightInvocationDescription	You can see normally in darkness, both magical and nonmagical, to a distance of 120 feet.
Feature/&WarlockThirstingBladeInvocationTitle	Thirsting Blade
Feature/&WarlockThirstingBladeInvocationDescription	You can attack with a melee weapon twice, instead of once, whenever you take the Attack action on your turn.
Feature/&WarlockEldritchArcheryInvocationTitle	Eldritch Archery
Feature/&WarlockEldritchArcheryInvocationDescription	You can attack with a bow twice, instead of once, whenever you take the Attack action on your turn.
Feature/&WarlockEldritchStrikeInvocationTitle	Eldritch Strike
Feature/&WarlockEldritchStrikeInvocationDescription	Once per turn when you hit a creature with a melee weapon (if you have Pact of the Blade boon), or with an arrow (if you have Pact of the Arrow boon), you can expend a warlock spell slot to deal an extra 1d10 force damage to the target per level of the spell slot, the target is also knocked prone.
Reaction/&SpendWarlockEldritchStrikeInvocationPowerReactDescription	Expend warlock spell slot to deal 1d10 force damage per slot level and knock target prone.
Feature/&WarlockClassPactBoonTitle	Pact Boon
Feature/&WarlockClassPactBoonDescription	Your otherworldly patron bestows a gift upon you for your loyal service.
Feature/&WarlockClassPactOfBladeTitle	Pact of the Blade
Feature/&WarlockClassPactOfBladeDescription	You gain proficiency with all melee weapons. In addition, every melee weapon you hold counts as magical for purpose of overcoming resistance and immunity to nonmagical attacks and damage.
Feature/&WarlockClassPactOfTomeTitle	Pact of the Tome
Feature/&WarlockClassPactOfTomeDescription	You learn three cantrips from any class's spell list (the three needn't be from the same list). They don't count against your number of cantrips known.
Feature/&WarlockClassPactOfArrowTitle	Pact of the Arrow
Feature/&WarlockClassPactOfArrowDescription	You gain proficiency with all bows. In  addition, every bow you hold counts as magical for purpose of overcoming resistance and immunity to nonmagical attacks and damage. You can also create arrows at will.
Spell/&EldritchBlastTitle	Eldritch Blast
Spell/&EldritchBlastDescription	Send a beam of crackling energy toward your enemy.
Subclass/&WarlockSubclassPatronFiendTitle	Fiend Patron
Subclass/&WarlockSubclassPatronFiendDescription	You have made a pact with a fiend from the lower planes of existence, a being whose aims are evil, even if you strive against those aims. Such beings desire the corruption or destruction of all things, ultimately including you. Fiends powerful enough to forge a pact include demon lords such as Demogorgon, Orcus, Fraz'Urb-luu, and Baphomet; archdevils such as Asmodeus, Dispater, Mephistopheles, and Belial; pit fiends and balors that are especially mighty; and ultroloths and other lords of the yugoloths.
Feature/&WarlockFiendSubclassFiendSpellsTitle	Expanded Spell List
Feature/&WarlockFiendSubclassFiendSpellsDescription	The Fiend lets you choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you.\n1st level: burning hands, bane\n2nd level: blindness, scorching ray\n3rd level: fireball, stinking cloud\n4th level: fire shield, wall of fire\n5th level: flame strike, cloudkill.
Feature/&WarlockFiendSubclassDarkOnesBlessingTitle	Dark One's Blessing
Feature/&WarlockFiendSubclassDarkOnesBlessingDescription	Starting at 1st level, when you reduce a hostile creature to 0 hit points, you gain temporary hit points equal to your <MAIN_STAT> modifier + your warlock level (minimum of 1).
Feature/&WarlockFiendSubclassDarkOnesOwnLuckTitle	Dark One's Own Luck
Feature/&WarlockFiendSubclassDarkOnesOwnLuckDescription	You can reroll a failed savingthrow. Once you use this feature, you can't use it again until you finish a short or long rest.
Reaction/&ConsumePowerUseWarlockFiendSubclassDarkOnesOwnLuckPowerDescription	You have failed a saving throw against {0} but can attempt to reroll it.
Feature/&WarlockFiendFiendishResilenceTitle	Fiendish Resilience
Feature/&WarlockFiendFiendishResilenceDescription	At 10th level, you gain Resistance to one damage type of your choice.
Subclass/&WarlockSubclassPatronAngelTitle	Angel Patron
Subclass/&WarlockSubclassPatronAngelDescription	Your power is the result of a divine contract between yourself and a minor Celestial. In return for a promise of godly favor after death, you are given a mission to complete while alive - often involving the destruction of evil. The Angel in question will provide what aid it can to help you complete this mission.
Feature/&WarlockAngelSubclassAngelSpellsTitle	Expanded Spell List
